Record Length,15000,,Source,CH1
Sample Interval,100000.0000000000000,,Second,Volt
Vertical Units,CH1:V,,-715000000.000000000000,0.16000
Vertical Scale,CH1:1.00,,-714900050.0000000001.00,0.16000
Vertical Offset,CH1:-2.00000,,-714800000.000000000-2.00000,0.16000
Horizontal Units,s,,-714700050.000000000000,0.16000
Horizontal Scale,2.5000000000,,-714600000.0000000002.5000000000,0.16000
Model Number,WaveAce112,,-714500050.000000000000,0.16000
Serial Number,LCRY2101C02399,,-714400000.000000000000,0.16000
Software Version,2.07.02.16,,-714300050.000000000000,0.16000
,,,-714200000.000000000000,0.16000
,,,-714100050.000000000000,0.16000
,,,-714000000.000000000000,0.16000
,,,-713900050.000000000000,0.16000
,,,-713800000.000000000000,0.16000
,,,-713700050.000000000000,0.16000
,,,-713600000.000000000000,0.16000
,,,-713500050.000000000000,0.16000
,,,-713400000.000000000000,0.16000
,,,-713300050.000000000000,0.16000
,,,-713200000.000000000000,0.16000
,,,-713100050.000000000000,0.16000
,,,-713000000.000000000000,0.16000
,,,-712900050.000000000000,0.16000
,,,-712800000.000000000000,0.16000
,,,-712700050.000000000000,0.16000
,,,-712600000.000000000000,0.16000
,,,-712500050.000000000000,0.16000
,,,-712400000.000000000000,0.16000
,,,-712300050.000000000000,0.16000
,,,-712200000.000000000000,0.16000
,,,-712100050.000000000000,0.16000
,,,-712000000.000000000000,0.16000
,,,-711900050.000000000000,0.16000
,,,-711800000.000000000000,0.16000
,,,-711700050.000000000000,0.16000
,,,-711600000.000000000000,0.16000
,,,-711500050.000000000000,0.16000
,,,-711400000.000000000000,0.16000
,,,-711300050.000000000000,0.16000
,,,-711200000.000000000000,0.16000
,,,-711100050.000000000000,0.16000
,,,-711000000.000000000000,0.16000
,,,-710900050.000000000000,0.16000
,,,-710800000.000000000000,0.16000
,,,-710700050.000000000000,0.16000
,,,-710600000.000000000000,0.16000
,,,-710500050.000000000000,0.16000
,,,-710400000.000000000000,0.16000
,,,-710300050.000000000000,0.16000
,,,-710200000.000000000000,0.16000
,,,-710100050.000000000000,0.16000
,,,-710000000.000000000000,0.12000
,,,-709900050.000000000000,0.16000
,,,-709800000.000000000000,0.08000
,,,-709700050.000000000000,0.08000
,,,-709600000.000000000000,0.12000
,,,-709500050.000000000000,0.04000
,,,-709400000.000000000000,0.16000
,,,-709300050.000000000000,0.08000
,,,-709200000.000000000000,0.04000
,,,-709100050.000000000000,0.12000
,,,-709000000.000000000000,0.08000
,,,-708900050.000000000000,0.00
,,,-708800000.000000000000,0.08000
,,,-708700050.000000000000,0.08000
,,,-708600000.000000000000,0.12000
,,,-708500050.000000000000,0.12000
,,,-708400000.000000000000,0.16000
,,,-708300050.000000000000,0.08000
,,,-708200000.000000000000,0.04000
,,,-708100050.000000000000,0.12000
,,,-708000000.000000000000,0.12000
,,,-707900050.000000000000,0.08000
,,,-707800000.000000000000,0.08000
,,,-707700050.000000000000,0.12000
,,,-707600000.000000000000,0.12000
,,,-707500050.000000000000,0.12000
