Record Length,15000,,Source,CH1
Sample Interval,100000.0000000000000,,Second,Volt
,,,-660700050.000000000000,1.00000
,,,-660600000.000000000000,1.00000
,,,-660500050.000000000000,1.00000
,,,-660400000.000000000000,1.00000
,,,-660300050.000000000000,0.96000
,,,-660200000.000000000000,0.96000
,,,-660100050.000000000000,0.96000
,,,-660000000.000000000000,1.00000
,,,-659900050.000000000000,1.08000
,,,-659800000.000000000000,1.04000
,,,-659700050.000000000000,1.00000
,,,-659600000.000000000000,1.00000
,,,-659500050.000000000000,1.04000
,,,-659400000.000000000000,1.04000
,,,-659300050.000000000000,1.00000
,,,-659200000.000000000000,0.96000
,,,-659100050.000000000000,1.00000
,,,-659000000.000000000000,0.96000
,,,-658900050.000000000000,1.00000
,,,-658800000.000000000000,0.92000
,,,-658700050.000000000000,1.04000
,,,-658600000.000000000000,1.00000
,,,-658500050.000000000000,1.04000
,,,-658400000.000000000000,1.00000
,,,-658300050.000000000000,1.00000
,,,-658200000.000000000000,1.00000
,,,-658100050.000000000000,1.04000
,,,-658000000.000000000000,1.00000
,,,-657900050.000000000000,1.00000
,,,-657800000.000000000000,1.04000
,,,-657700050.000000000000,0.96000
,,,-657600000.000000000000,1.04000
,,,-657500050.000000000000,1.00000
,,,-657400000.000000000000,1.04000
,,,-657300050.000000000000,1.00000
,,,-657200000.000000000000,1.00000
,,,-657100050.000000000000,1.00000
,,,-657000000.000000000000,0.96000
,,,-656900050.000000000000,1.00000
,,,-656800000.000000000000,1.04000
,,,-656700050.000000000000,1.08000
,,,-656600000.000000000000,0.92000
,,,-656500050.000000000000,1.04000
,,,-656400000.000000000000,0.96000
,,,-656300050.000000000000,1.00000
,,,-656200000.000000000000,1.04000
,,,-656100050.000000000000,0.96000
,,,-656000000.000000000000,1.00000
,,,-655900050.000000000000,1.00000
,,,-655800000.000000000000,1.00000
,,,-655700050.000000000000,0.96000
,,,-655600000.000000000000,1.04000
,,,-655500050.000000000000,0.96000
,,,-655400000.000000000000,1.00000
,,,-655300050.000000000000,1.00000
,,,-655200000.000000000000,1.00000
,,,-655100050.000000000000,1.00000
,,,-655000000.000000000000,1.04000
,,,-654900050.000000000000,1.08000
,,,-654800000.000000000000,1.00000
,,,-654700050.000000000000,1.04000
,,,-654600000.000000000000,1.00000
,,,-654500050.000000000000,0.92000
,,,-654400000.000000000000,1.04000
,,,-654300050.000000000000,1.00000
,,,-654200000.000000000000,1.00000
,,,-654100050.000000000000,0.96000
,,,-654000000.000000000000,1.00000
,,,-653900050.000000000000,1.04000
,,,-653800000.000000000000,1.00000
,,,-653700050.000000000000,0.96000
,,,-653600000.000000000000,1.04000
,,,-653500050.000000000000,1.00000
,,,-653400000.000000000000,1.04000
,,,-653300050.000000000000,1.04000
,,,-653200000.000000000000,1.04000
,,,-653100050.000000000000,1.00000
,,,-653000000.000000000000,1.04000
,,,-652900050.000000000000,0.92000
,,,-652800000.000000000000,0.96000
,,,-652700050.000000000000,1.00000
,,,-652600000.000000000000,1.00000
,,,-652500050.000000000000,1.08000
,,,-652400000.000000000000,1.04000
,,,-652300050.000000000000,1.04000
,,,-652200000.000000000000,1.04000
,,,-652100050.000000000000,0.96000
,,,-652000000.000000000000,0.96000
,,,-651900050.000000000000,1.04000
,,,-651800000.000000000000,1.00000
,,,-651700050.000000000000,1.00000
,,,-651600000.000000000000,1.04000
,,,-651500050.000000000000,1.00000
,,,-651400000.000000000000,0.96000
,,,-651300050.000000000000,1.00000
,,,-651200000.000000000000,1.00000
,,,-651100050.000000000000,1.00000
,,,-651000000.000000000000,1.00000
,,,-650900050.000000000000,1.00000
,,,-650800000.000000000000,1.04000
,,,-650700050.000000000000,0.92000
,,,-650600000.000000000000,1.04000
,,,-650500050.000000000000,1.00000
,,,-650400000.000000000000,1.00000
,,,-650300050.000000000000,1.00000
,,,-650200000.000000000000,1.00000
,,,-650100050.000000000000,1.00000
,,,-650000000.000000000000,1.00000
,,,-649900050.000000000000,1.00000
,,,-649800000.000000000000,1.00000
,,,-649700050.000000000000,1.00000
,,,-649600000.000000000000,0.96000
,,,-649500050.000000000000,1.00000
,,,-649400000.000000000000,1.00000
,,,-649300050.000000000000,0.96000
,,,-649200000.000000000000,1.00000
,,,-649100050.000000000000,1.04000
,,,-649000000.000000000000,1.00000
,,,-648900050.000000000000,1.04000
,,,-648800000.000000000000,1.00000
,,,-648700050.000000000000,1.04000
,,,-648600000.000000000000,1.00000
,,,-648500050.000000000000,1.04000
,,,-648400000.000000000000,1.00000
,,,-648300050.000000000000,1.00000
,,,-648200000.000000000000,0.92000
,,,-648100050.000000000000,1.00000
,,,-648000000.000000000000,1.04000
,,,-647900050.000000000000,1.04000
,,,-647800000.000000000000,1.04000
,,,-647700050.000000000000,1.04000
,,,-647600000.000000000000,0.96000
,,,-647500050.000000000000,1.04000
,,,-647400000.000000000000,1.04000
,,,-647300050.000000000000,1.00000
,,,-647200000.000000000000,0.96000
,,,-647100050.000000000000,1.00000
,,,-647000000.000000000000,1.08000
,,,-646900050.000000000000,1.04000
,,,-646800000.000000000000,1.00000
,,,-646700050.000000000000,1.04000
,,,-646600000.000000000000,1.00000
,,,-646500050.000000000000,0.96000
,,,-646400000.000000000000,1.04000
,,,-646300050.000000000000,0.96000
,,,-646200000.000000000000,1.00000
