Record Length,15000,,Source,CH1
Sample Interval,100000.0000000000000,,Second,Volt
Vertical Units,CH1:V,,-625000000.000000000000,0.04000
Vertical Scale,CH1:1.00,,-624900050.0000000001.00,0.04000
Vertical Offset,CH1:-2.00000,,-624800000.000000000-2.00000,0.00
Horizontal Units,s,,-624700050.000000000000,0.00
Horizontal Scale,2.5000000000,,-624600000.0000000002.5000000000,0.04000
Model Number,WaveAce112,,-624500050.000000000000,0.04000
Serial Number,LCRY2101C02399,,-624400000.000000000000,0.00
Software Version,2.07.02.16,,-624300050.000000000000,0.08000
,,,-624200000.000000000000,0.00
,,,-624100050.000000000000,0.00
,,,-624000000.000000000000,0.04000
,,,-623900050.000000000000,0.04000
,,,-623800000.000000000000,0.00
,,,-623700050.000000000000,0.00
,,,-623600000.000000000000,0.00
,,,-623500050.000000000000,0.00
,,,-623400000.000000000000,0.08000
,,,-623300050.000000000000,0.04000
,,,-623200000.000000000000,0.08000
,,,-623100050.000000000000,0.04000
,,,-623000000.000000000000,0.04000
,,,-622900050.000000000000,0.04000
,,,-622800000.000000000000,0.00
,,,-622700050.000000000000,0.04000
,,,-622600000.000000000000,0.12000
,,,-622500050.000000000000,0.00
,,,-622400000.000000000000,0.00
,,,-622300050.000000000000,0.00
,,,-622200000.000000000000,0.04000
,,,-622100050.000000000000,-0.04000
,,,-622000000.000000000000,0.00
,,,-621900050.000000000000,-0.04000
,,,-621800000.000000000000,0.04000
,,,-621700050.000000000000,0.04000
,,,-621600000.000000000000,0.04000
,,,-621500050.000000000000,0.00
,,,-621400000.000000000000,0.08000
,,,-621300050.000000000000,-0.04000
,,,-621200000.000000000000,0.04000
,,,-621100050.000000000000,0.04000
,,,-621000000.000000000000,0.12000
,,,-620900050.000000000000,0.04000
,,,-620800000.000000000000,0.04000
,,,-620700050.000000000000,0.04000
,,,-620600000.000000000000,0.04000
,,,-620500050.000000000000,0.04000
,,,-620400000.000000000000,0.04000
,,,-620300050.000000000000,0.04000
,,,-620200000.000000000000,0.04000
,,,-620100050.000000000000,0.04000
,,,-620000000.000000000000,0.00
,,,-619900050.000000000000,0.04000
,,,-619800000.000000000000,0.04000
,,,-619700050.000000000000,0.04000
,,,-619600000.000000000000,0.04000
,,,-619500050.000000000000,0.00
,,,-619400000.000000000000,0.08000
,,,-619300050.000000000000,0.08000
,,,-619200000.000000000000,-0.04000
,,,-619100050.000000000000,0.04000
,,,-619000000.000000000000,0.08000
,,,-618900050.000000000000,0.00
,,,-618800000.000000000000,0.04000
,,,-618700050.000000000000,0.04000
,,,-618600000.000000000000,0.00
,,,-618500050.000000000000,0.04000
,,,-618400000.000000000000,0.08000
