Record Length,15000,,Source,CH1
Sample Interval,100000.0000000000000,,Second,Volt
Vertical Units,CH1:V,,-750000000.000000000000,0.12000
Vertical Scale,CH1:1.00,,-749900050.0000000001.00,0.08000
Vertical Offset,CH1:-2.00000,,-749800000.000000000-2.00000,0.04000
Horizontal Units,s,,-749700050.000000000000,0.08000
Horizontal Scale,2.5000000000,,-749600000.0000000002.5000000000,0.12000
Model Number,WaveAce112,,-749500050.000000000000,0.12000
Serial Number,LCRY2101C02399,,-749400000.000000000000,0.12000
Software Version,2.07.02.16,,-749300050.000000000000,0.08000
,,,-749200000.000000000000,0.12000
,,,-749100050.000000000000,0.04000
,,,-749000000.000000000000,0.04000
,,,-748900050.000000000000,0.12000
,,,-748800000.000000000000,0.08000
,,,-748700050.000000000000,0.04000
,,,-748600000.000000000000,0.04000
,,,-748500050.000000000000,0.08000
,,,-748400000.000000000000,0.12000
,,,-748300050.000000000000,0.04000
,,,-748200000.000000000000,0.12000
,,,-748100050.000000000000,0.12000
,,,-748000000.000000000000,0.12000
,,,-747900050.000000000000,0.12000
,,,-747800000.000000000000,0.04000
,,,-747700050.000000000000,0.12000
,,,-747600000.000000000000,0.16000
,,,-747500050.000000000000,0.08000
,,,-747400000.000000000000,0.08000
,,,-747300050.000000000000,0.08000
,,,-747200000.000000000000,0.04000
,,,-747100050.000000000000,0.12000
,,,-747000000.000000000000,0.04000
,,,-746900050.000000000000,0.04000
,,,-746800000.000000000000,0.04000
,,,-746700050.000000000000,0.12000
,,,-746600000.000000000000,0.04000
,,,-746500050.000000000000,0.00
,,,-746400000.000000000000,0.12000
,,,-746300050.000000000000,0.04000
,,,-746200000.000000000000,0.04000
,,,-746100050.000000000000,0.12000
,,,-746000000.000000000000,0.00
,,,-745900050.000000000000,0.12000
,,,-745800000.000000000000,0.08000
,,,-745700050.000000000000,0.08000
,,,-745600000.000000000000,0.08000
,,,-745500050.000000000000,0.12000
,,,-745400000.000000000000,0.12000
,,,-745300050.000000000000,0.04000
,,,-745200000.000000000000,0.08000
,,,-745100050.000000000000,0.08000
,,,-745000000.000000000000,0.08000
