"TIME","y1","y2","y3","y4","y5","y6"
0.0956058053,0.191464,0.0282763,0.00670353,0.00534972,0.00554567,0.00554172
0.09594403278,0.207682,0.0288542,0.00677558,0.00535529,0.00554599,0.00554173
0.09662048774,0.239926,0.0301674,0.00692531,0.00536642,0.00554662,0.00554176
0.0972704375,0.270697,0.0316253,0.00707727,0.00537819,0.00554723,0.00554179
0.09727046744,0.270699,0.0316254,0.00707728,0.00537819,0.00554723,0.00554179
0.09727074691,0.270712,0.031626,0.00707734,0.0053782,0.00554723,0.00554179
0.09727421801,0.270702,0.0316338,0.00707815,0.00537826,0.00554724,0.00554179
0.09727686567,0.270695,0.0316401,0.00707877,0.00537831,0.00554724,0.00554179
0.097282161,0.270681,0.0316528,0.00708005,0.00537841,0.00554725,0.00554179
0.09731393296,0.270595,0.0317286,0.00708773,0.00537902,0.00554728,0.0055418
0.09744102082,0.270252,0.0320318,0.00711846,0.00538144,0.00554744,0.00554181
0.0976104713,0.269795,0.0324333,0.00716063,0.00538468,0.00554764,0.00554182
0.09794937225,0.268887,0.0332361,0.00724497,0.00539166,0.00554805,0.00554185
0.09862717415,0.267072,0.0348217,0.00742207,0.00540563,0.00554888,0.00554192
0.09998277796,0.263484,0.0379249,0.00780433,0.00543738,0.00555133,0.00554204
0.1026939856,0.256452,0.043866,0.00867492,0.00551573,0.00555623,0.0055423
0.1052667475,0.249957,0.0491861,0.00962366,0.00561048,0.00556331,0.00554275
0.1052728695,0.250247,0.0491988,0.00962591,0.00561071,0.00556332,0.00554275
0.1053523143,0.25401,0.04936,0.00965719,0.00561399,0.00556358,0.00554277
0.1054370554,0.258024,0.0495383,0.00969056,0.00561749,0.00556386,0.00554279
0.1056065375,0.266025,0.0498949,0.00975822,0.00562449,0.00556441,0.00554283
0.1059455018,0.282026,0.0506533,0.00989354,0.00563927,0.00556551,0.00554291
0.1066234304,0.313838,0.0523238,0.0101722,0.00566882,0.00556797,0.00554307
0.1072704674,0.343996,0.0541081,0.0104478,0.00569895,0.00557033,0.00554323
0.1072707469,0.344009,0.0541089,0.0104479,0.00569896,0.00557033,0.00554323
0.1072742193,0.343997,0.0541185,0.0104494,0.00569913,0.00557034,0.00554323
0.1072768711,0.343988,0.0541258,0.0104505,0.00569925,0.00557035,0.00554323
0.1073139955,0.343861,0.054233,0.0104667,0.00570104,0.0055705,0.00554324
0.1074412791,0.343425,0.0546007,0.0105221,0.0057072,0.00557101,0.00554328
0.1076109905,0.342843,0.0550909,0.0105974,0.00571541,0.0055717,0.00554333
0.1079504134,0.341687,0.0560641,0.010748,0.00573269,0.00557307,0.00554345
0.1086292592,0.339377,0.0579889,0.0110589,0.00576727,0.00557623,0.00554367
0.1099869508,0.33481,0.0617535,0.011713,0.00584289,0.00558256,0.00554411
0.112702334,0.32586,0.0689517,0.0131421,0.00601825,0.00559861,0.00554558
0.1152667475,0.317632,0.0753563,0.014629,0.00621569,0.00561794,0.00554698
0.1152702222,0.317794,0.075365,0.014631,0.00621596,0.00561796,0.00554698
0.1152728745,0.317918,0.0753716,0.0146326,0.00621616,0.00561798,0.00554698
0.1154373166,0.325597,0.0757765,0.0147327,0.00622998,0.00561939,0.00554711
0.1156070633,0.333495,0.076207,0.0148361,0.00624425,0.00562085,0.00554724
0.1159465566,0.349293,0.0771059,0.0150451,0.00627393,0.00562376,0.00554751
0.1166255433,0.380701,0.0790541,0.0154707,0.00633328,0.00563008,0.00554805
0.1172704475,0.410331,0.0810893,0.0158854,0.00639251,0.00563609,0.00554856
0.1172707469,0.410344,0.0810903,0.0158856,0.00639254,0.0056361,0.00554856
0.1172742206,0.41033,0.0811012,0.0158878,0.00639286,0.00563613,0.00554856
0.1172768744,0.410319,0.0811096,0.0158895,0.0063931,0.00563616,0.00554857
0.1172927974,0.410254,0.0811618,0.0158999,0.0063946,0.00563632,0.00554858
0.1174414117,0.409646,0.0816494,0.015997,0.00640865,0.00563782,0.00554873
0.1176112566,0.408952,0.0822065,0.0161094,0.0064247,0.00563953,0.0055489
0.1179509465,0.407573,0.0833124,0.0163342,0.00645743,0.00564296,0.00554924
0.1186303263,0.404814,0.085499,0.0167943,0.00652484,0.00565061,0.00554993
0.1199890858,0.399363,0.0897728,0.0177487,0.00666769,0.0056659,0.0055513
0.1227066048,0.388678,0.0979335,0.0197854,0.00698735,0.00570263,0.00555535
0.1252667475,0.378879,0.105164,0.0218478,0.00733228,0.00574445,0.00555917
0.1252702228,0.379039,0.105174,0.0218506,0.00733275,0.00574451,0.00555918
0.125272878,0.379161,0.105181,0.0218528,0.00733311,0.00574455,0.00555918
0.1254375029,0.386748,0.105638,0.0219904,0.00735688,0.00574754,0.00555951
0.1256074383,0.394552,0.106122,0.0221325,0.00738142,0.00575061,0.00555984
0.1259473091,0.41016,0.107127,0.0224191,0.00743123,0.00575677,0.00556051
0.1266270506,0.441191,0.109286,0.0230001,0.00753327,0.00576993,0.00556184
0.1272707469,0.470378,0.11151,0.0235609,0.00763293,0.00578239,0.00556322
0.1272742209,0.470362,0.111522,0.0235639,0.00763347,0.00578246,0.00556323
0.1272768784,0.47035,0.111531,0.0235662,0.00763388,0.00578252,0.00556323
0.1276117216,0.46878,0.112728,0.0238622,0.00768691,0.00578943,0.00556401
0.1279518798,0.467197,0.113925,0.0241659,0.00774161,0.00579645,0.0055648
0.1286321962,0.464031,0.116319,0.0247824,0.00785356,0.00581112,0.00556638
0.129992829,0.457773,0.120977,0.0260505,0.00808796,0.00584241,0.00557031
0.1327140946,0.445508,0.129859,0.0287163,0.00860035,0.00591342,0.00557819
0.1352667474,0.434307,0.137679,0.0313589,0.00913581,0.00599114,0.00558767
0.1352670674,0.434322,0.13768,0.0313593,0.00913587,0.00599115,0.00558767
0.1352728799,0.434587,0.137697,0.0313675,0.00913709,0.00599133,0.00558769
0.1354375832,0.442086,0.138192,0.0315431,0.00917371,0.00599673,0.00558839
0.1356075994,0.4498,0.138727,0.0317244,0.0092115,0.00600232,0.00558911
0.1359476319,0.465228,0.139797,0.0320921,0.00928785,0.00601391,0.00559055
0.1366276968,0.495902,0.142107,0.0328275,0.00944356,0.0060371,0.00559343
0.1372707469,0.52471,0.144468,0.0335359,0.00959451,0.00606004,0.00559634
0.1372768806,0.524678,0.144491,0.0335427,0.00959595,0.00606026,0.00559637
0.1376119447,0.522925,0.14576,0.033916,0.00967604,0.00607252,0.005598
0.1379523272,0.521158,0.147028,0.0343013,0.00975842,0.00608544,0.00559965
0.1386330923,0.517624,0.149565,0.0350718,0.00992629,0.00611127,0.00560296
0.1399946225,0.510639,0.154496,0.0366535,0.0102747,0.00616626,0.00561021
0.1427176828,0.496949,0.163884,0.0399444,0.0110234,0.00628836,0.00562682
