"TIME","PWM","y6"
1.797081504,0.00467958,4.9849
1.802528648,0.00443322,4.98507
1.813422936,0.00397672,4.98478
1.835211513,0.00319469,4.98186
1.840468685,0.00303544,4.98017
1.850983029,0.00273578,4.97679
1.853611615,0.00266585,4.97595
1.859033074,0.00252611,4.97347
1.859511494,0.00251408,4.97325
1.85951342,0.00251403,4.97325
1.859576311,0.00251245,4.97322
1.859637918,0.00251091,4.97318
1.860870068,0.00248022,4.97253
1.862184361,0.0024479,4.97183
1.864812947,0.00238451,4.97044
1.870070119,0.00226257,4.96676
1.880584463,0.00203679,4.9594
1.901613152,0.00164857,4.93704
1.943670529,0.00106882,4.85878
1.946726459,0.00103681,4.85112
1.950929038,0.000994251,4.84057
1.950929085,0.000994251,4.84057
1.950960855,0.000993936,4.84049
1.951056353,0.000992989,4.84023
1.951947666,0.000984195,4.83784
1.95296631,0.00097424,4.83511
1.955003597,0.00095463,4.82965
1.959078171,0.000916579,4.8182
1.967227319,0.000844909,4.79369
1.983525616,0.000717545,4.73805
2.016122209,0.000515109,4.59993
2.024271357,0.000476367,4.55869
2.040569653,0.000405772,4.47088
2.041078975,0.000403731,4.46813
2.04235228,0.000398627,4.46093
2.043661396,0.000393455,4.45353
2.043671343,0.000393416,4.45347
2.043709642,0.000393266,4.45325
2.04380514,0.000392891,4.4527
2.044696453,0.000389411,4.44757
2.045715096,0.000385473,4.4417
2.047752383,0.000377714,4.42997
2.051826958,0.000362658,4.40597
2.059976106,0.000334301,4.35645
2.076274402,0.000283907,4.25155
2.108870995,0.000203811,4.02108
2.117020144,0.000188482,3.95862
2.13331844,0.00016055,3.8305
2.134846405,0.000158124,3.81849
2.137372124,0.000154189,3.79823
2.137442504,0.000154081,3.79767
2.138397482,0.000152619,3.78995
2.139416126,0.000151075,3.78172
2.141453413,0.000148035,3.76527
2.145527987,0.000142134,3.7321
2.153677135,0.00013102,3.66502
2.169975432,0.00011127,3.5284
2.202572025,7.98781e-005,3.24865
2.25517981,4.57029e-005,2.79359
2.26251557,4.25852e-005,2.73014
2.277187091,3.68533e-005,2.60421
2.306530133,2.74455e-005,2.35828
2.3451875,1.84221e-005,2.05026
2.34518751,4.99004,2.05026
2.34519773,4.99004,2.05018
2.34522845,4.99004,2.04994
2.345862093,4.9901,2.04505
2.346768428,4.99019,2.03807
2.349193241,4.99043,2.01941
2.351478338,4.99064,2.00192
2.356048533,4.99101,1.96718
2.365188923,4.99175,1.89872
2.382946204,4.99317,1.76975
2.40369016,4.99442,1.62629
2.409919109,4.99479,1.58492
2.412886748,4.99493,1.5654
2.416843599,4.99512,1.53966
2.424757302,4.99548,1.48916
2.428219546,4.99565,1.46753
2.431929094,4.99582,1.44463
2.432423701,4.99584,1.44158
2.434587604,4.99593,1.42837
2.436009597,4.99599,1.41976
2.436743779,4.99601,1.41531
2.440206024,4.99615,1.39458
2.444162875,4.9963,1.37123
2.452076577,4.99651,1.32571
2.467903982,4.99693,1.23971
2.499558792,4.99777,1.0909
2.508214404,4.998,1.05696
2.511182043,4.99808,1.04556
2.515138894,4.99818,1.03088
2.523052597,4.99831,1.00332
2.538880002,4.99855,0.955794
2.540363821,4.99858,0.95187
