Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0020000001563,,Second,Volt,Volt
,,,-29.70000000000,-0.04000,0.03960
,,,-29.69800250000,0.00,0.03960
,,,-29.69600000000,0.00,0.03960
,,,-29.69400250000,0.00,0.03960
,,,-29.69200250000,0.00,0.03960
,,,-29.69000000000,0.00,0.03960
,,,-29.68800250000,0.00,0.03960
,,,-29.68600000000,0.00,0.03960
,,,-29.68400250000,0.00,0.03960
,,,-29.68200000000,0.00,0.03960
,,,-29.68000250000,0.00,0.07920
,,,-29.67800250000,0.00,0.03960
,,,-29.67600000000,0.00,0.03960
,,,-29.67400250000,0.00,0.03960
,,,-29.67200000000,0.00,0.03960
,,,-29.67000250000,0.00,0.07920
,,,-29.66800000000,0.00,0.03960
,,,-29.66600250000,0.00,0.03960
,,,-29.66400250000,0.00,0.03960
,,,-29.66200000000,0.00,0.07920
,,,-29.66000250000,0.00,0.03960
,,,-29.65800000000,0.00,0.03960
,,,-29.65600250000,0.00,0.03960
,,,-29.65400000000,0.04000,0.03960
,,,-29.65200250000,0.00,0.03960
,,,-29.65000250000,0.00,0.03960
,,,-29.64800000000,0.00,0.03960
,,,-29.64600250000,0.04000,0.03960
,,,-29.64400000000,0.00,0.03960
,,,-29.64200250000,0.00,0.03960
,,,-29.64000250000,0.00,0.03960
,,,-29.63800000000,0.00,0.03960
,,,-29.63600250000,0.00,0.07920
,,,-29.63400000000,0.00,0.03960
,,,-29.63200250000,0.00,0.07920
,,,-29.63000000000,0.00,0.03960
,,,-29.62800250000,0.00,0.07920
,,,-29.62600250000,0.00,0.03960
,,,-29.62400000000,0.00,0.07920
,,,-29.62200250000,0.00,0.03960
,,,-29.62000000000,0.00,0.03960
,,,-29.61800250000,0.04000,0.03960
,,,-29.61600000000,0.00,0.03960
,,,-29.61400250000,0.00,0.03960
,,,-29.61200250000,0.00,0.03960
,,,-29.61000000000,0.00,0.03960
,,,-29.60800250000,0.00,0.03960
,,,-29.60600000000,0.00,0.03960
,,,-29.60400250000,0.00,0.03960
,,,-29.60200000000,0.00,0.03960
,,,-29.60000250000,0.00,0.07920
,,,-29.59800250000,0.00,0.03960
,,,-29.59600000000,0.00,0.03960
,,,-29.59400250000,0.04000,0.03960
,,,-29.59200000000,-0.04000,0.03960
,,,-29.59000250000,-0.04000,0.07920
,,,-29.58800250000,0.00,0.03960
,,,-29.58600250000,0.00,0.03960
,,,-29.58400250000,0.00,0.03960
,,,-29.58200000000,-0.04000,0.03960
,,,-29.58000250000,0.04000,0.07920
,,,-29.57800000000,0.00,0.07920
,,,-29.57600250000,0.00,0.03960
,,,-29.57400250000,0.04000,0.03960
,,,-29.57200000000,-0.04000,0.03960
,,,-29.57000250000,0.00,0.00
,,,-29.56800000000,0.00,0.07920
,,,-29.56600250000,0.00,0.03960
,,,-29.56400000000,0.00,0.00
,,,-29.56200250000,0.00,0.03960
,,,-29.56000250000,-0.04000,0.03960
,,,-29.55800000000,0.00,0.03960
,,,-29.55600250000,0.04000,0.03960
,,,-29.55400000000,0.00,0.00
,,,-29.55200250000,0.00,0.03960
,,,-29.55000000000,0.04000,0.03960
,,,-29.54800250000,0.04000,0.00
,,,-29.54600250000,0.00,0.03960
,,,-29.54400000000,0.00,0.07920
,,,-29.54200250000,-0.04000,0.03960
,,,-29.54000000000,0.00,0.03960
,,,-29.53800250000,0.00,0.03960
,,,-29.53600000000,0.04000,0.03960
,,,-29.53400250000,0.00,0.03960
,,,-29.53200250000,0.00,0.07920
,,,-29.53000000000,0.00,0.07920
,,,-29.52800250000,0.00,0.03960
,,,-29.52600000000,0.00,0.03960
,,,-29.52400250000,0.00,0.03960
,,,-29.52200250000,-0.04000,0.03960
,,,-29.52000000000,0.00,0.03960
,,,-29.51800250000,0.00,0.03960
,,,-29.51600000000,0.00,0.03960
,,,-29.51400250000,0.00,0.03960
,,,-29.51200000000,0.00,0.03960
,,,-29.51000250000,0.00,0.03960
,,,-29.50800250000,0.00,0.03960
,,,-29.50600000000,0.00,0.03960
,,,-29.50400250000,0.00,0.03960
,,,-29.50200000000,0.00,0.03960
,,,-29.50000250000,0.00,0.03960
,,,-29.49800000000,0.00,0.03960
,,,-29.49600250000,0.00,0.03960
,,,-29.49400250000,0.00,0.03960
,,,-29.49200000000,0.00,0.03960
,,,-29.49000250000,-0.04000,0.03960
,,,-29.48800000000,0.00,0.03960
,,,-29.48600250000,0.00,0.00
,,,-29.48400000000,0.00,0.03960
,,,-29.48200250000,0.04000,0.03960
,,,-29.48000250000,0.00,0.03960
,,,-29.47800000000,0.00,0.07920
,,,-29.47600250000,0.00,0.03960
,,,-29.47400000000,0.00,0.03960
,,,-29.47200250000,0.04000,0.03960
,,,-29.47000000000,0.00,0.03960
,,,-29.46800250000,-0.04000,0.03960
,,,-29.46600250000,0.00,0.03960
,,,-29.46400000000,0.00,0.03960
,,,-29.46200250000,0.00,0.03960
,,,-29.46000000000,0.00,0.03960
,,,-29.45800250000,-0.04000,0.03960
,,,-29.45600250000,0.04000,0.03960
,,,-29.45400000000,0.00,0.03960
,,,-29.45200250000,0.00,0.03960
,,,-29.45000000000,-0.04000,0.00
,,,-29.44800250000,0.00,0.07920
,,,-29.44600000000,-0.04000,0.03960
